"id","titulo","texto","data","fonte","url"
"1","Documento 1","Santos é um município brasileiro no litoral do estado de São Paulo, Região Sudeste do país. Abriga o maior porto da América Latina, que é o principal responsável pela dinâmica econômica da cidade ao lado do turismo, da pesca e do comércio. Ocupa a 5.ª colocação entre as não capitais mais importantes para a economia brasileira e 10.ª colocada segundo a qualidade de vida. A cidade é sede do poder executivo paulista todo dia 13 de junho (capital simbólica de São Paulo) e não apenas sede de diversas instituições de ensino superior como também da mais antiga entidade geral estudantil do Brasil, o Centro dos Estudantes de Santos.","","Corpus da Disciplina",""
"2","Documento 2","Fundada em 1546 por Brás Cubas, sendo uma das cidades mais antigas das Américas, Santos se tornou um centro do ciclo do café no século XIX. Em 1922, foi inaugurada a Bolsa Oficial do Café, onde eram negociadas riquezas do mercado cafeeiro para o país e que resultou no atual Museu do Café no Centro Histórico, que promove exposições sobre a trajetória do produto pelo Brasil e pela cidade e que é decorado com obras do artista Benedito Calixto. Atualmente, Santos possui uma economia pujante, principalmente por conta de seu complexo portuário. Em 2016, a cidade era a 33ª mais rica do país, com produto interno bruto de 21 954 556,74 de reais.","","Corpus da Disciplina",""
"3","Documento 3","Cidade mais populosa do litoral paulista, a estimativa de população em 2020 era de 433 656 habitantes. A Região Metropolitana da Baixada Santista, com 1,8 milhão de habitantes, é parte — junto com a Grande São Paulo e a Região Metropolitana de Campinas — do Complexo Metropolitano Expandido, uma megalópole que ultrapassa os 30 milhões de habitantes (cerca 75% da população paulista) e que é a primeira aglomeração urbana do tipo no hemisfério sul da Terra.","","Corpus da Disciplina",""
"4","Documento 4","O principal cartão-postal do município são os 7 km de praia. O Guinness World Records situa os jardins da orla de Santos como formadores do maior jardim frontal de praia em extensão do mundo. A preservação e o cuidado com a flora do ambiente praiano santista, permeado de palmeiras e amendoeiras, são resultados de um trabalho em conjunto dos departamentos de meio ambiente da região, muitas vezes ligados a universidades ou a instituições científicas. Em 2010, o Programa das Nações Unidas para o Desenvolvimento das Nações Unidas posicionou a cidade em sexto lugar na lista dos municípios brasileiros por índice de desenvolvimento humano e em terceiro lugar na lista dos municípios de São Paulo por índice de desenvolvimento humano, sendo um dos municípios menos violentos do país. Entretanto, Santos enfrentava (dados de 2011/12) alto custo de vida e constante especulação imobiliária. Além disso, abriga a maior favela de palafitas do país, o Dique da Vila Gilda, onde vivem, em dados de 2012, mais de 10 mil pessoas.","","Corpus da Disciplina",""
"5","Documento 5","Verificam-se relatos a respeito da Ilha de São Vicente apenas dois anos após o descobrimento oficial do Brasil, em 1502, com a expedição de Américo Vespúcio para o reconhecimento da costa brasileira. Ao passar pela ilha dantes conhecida pelos indígenas sob o nome de Goiaó (ou Guaiaó), a expedição decidiu dar-lhe o nome do santo do dia, São Vicente.","","Corpus da Disciplina",""
"6","Documento 6","A coroa portuguesa interessou-se pouco pela região nos trinta anos que se seguiram à expedição. Durante este tempo, vários corsários e piratas acudiam à região em busca do pau-brasil, madeira nobre que era objeto de cobiça na época, largamente explorada pelos portugueses na Mata Atlântica abundante da região.","","Corpus da Disciplina",""
"7","Documento 7","No entanto, em 1531, devido à decadência dos negócios da coroa portuguesa na Índia, o Brasil volta ao centro das atenções. Uma esquadra de demarcação e posse de territórios é enviada pelo monarca D. João III à Ilha de São Vicente. O chefe da esquadra, o navegador Martim Afonso de Sousa, encontra na entrada do atual estuário de Santos (Ponta da Praia) um pequeno povoado e um atracadouro, conhecido como Porto de São Vicente. Um dos degredados trazidos pela expedição de Américo Vespúcio, Cosme Fernandes, fundara aí essa colônia, e prosperava graças ao comércio com os indígenas. A vila de São Vicente também refletia a prosperidade das atividades econômicas de Fernandes.","","Corpus da Disciplina",""
"8","Documento 8","Martim Afonso, no entanto, expulsou Cosme Fernandes das terras e ocupou o porto de São Vicente. Também distribuiu sesmarias na parte norte da ilha, conhecida como Enguaguaçu, onde se encontravam terras adequadas ao plantio. Aí, se estabeleceram colonizadores portugueses, tais como Luís de Góis (e sua esposa Catarina de Andrade), Domingos Pires, Pascoal Fernandes, Francisco Pinto, Rui Pinto e os irmãos José e Francisco Adorno, que construíram um engenho perto do atual Morro de São Bento.","","Corpus da Disciplina",""
"9","Documento 9","A vida do novo povoado, entre 1530 e 1543, passou a girar em torno do engenho e do plantio. Com a invasão e saqueio da vila de São Vicente por Cosme Fernandes, na Guerra de Iguape, que se vingou por haver sido expulso em 1531 por Martim Afonso de Sousa e, com o maremoto posterior que danificou seriamente essa vila, a população do povoado do Enguaguaçu só fez crescer.","","Corpus da Disciplina",""
"10","Documento 10","Em 1543, com o término da construção de uma capela num outeiro em homenagem a Santa Catarina (mártir cristã) por Luís de Góis, Brás Cubas conseguiu a transferência do Porto para o sítio do Enguaguaçu, que era mais seguro e o apoio do povoado era necessário para as embarcações que aportavam e para o fornecimento das mercadorias a exportar. O fidalgo português também levou a cabo a instalação de um hospital, nos moldes da Santa Casa de Lisboa, acelerando o desenvolvimento do local. O hospital foi denominado Santa Casa de Misericórdia de Todos os Santos e foi o segundo hospital do Brasil — sendo o mais antigo do país em funcionamento, uma vez que o Hospital da Santa Casa de Misericórdia de Olinda foi extinto. O novo povoado de Enguaguaçu passou então a ser conhecido como o povoado de Todos os Santos. Uma outra hipótese sobre o nome Santos viria do porto de Santos que havia em Lisboa, semelhante ao local do novo povoado. Daí, então a região próxima ao Outeiro era conhecida como ""Vila do Porto de Santos"", e depois, apenas ""Santos"".","","Corpus da Disciplina",""
