"consulta","texto_consulta","necessidade","escopo"
"q01","museus turismo cultural centro historico","O usuario deseja conhecer opcoes de museus e equipamentos culturais para visitar na cidade.","Mencoes genericas a eventos sem espaco fisico ou sobre entidades estudantis nao contam."
"q02","qualidade de vida economia ranking","O usuario busca informacoes sobre a qualidade de vida e o nivel de desenvolvimento humano e economico para morar.","Listagens apenas de producao agricola ou industrial historica sem indicador de qualidade de vida nao contam."
"q03","porto dinamica economica turismo pesca","O usuario quer entender a importancia do setor portuario na economia local e sua relacao com o turismo.","Textos sobre outros portos do Brasil ou apenas aspectos biologicos da pesca nao contam."
"q04","fundacao historia bras cubas seculo XVI","O usuario busca informacoes historicas sobre a fundacao do municipio e seus personagens.","Historia recente (seculo XXI) sem mencao as origens coloniais nao conta."
"q05","populacao habitantes regiao metropolitana baixada santista","O usuario busca dados de populacao e dinamica regional para entender se a cidade faz parte de uma grande area metropolitana.","Area territorial em km2 isolada sem dados demograficos ou regionais nao conta."
"q06","ciclo do cafe bolsa do cafe museu","O usuario quer saber a relacao da cidade com o ciclo do cafe e o patrimonio decorrente dessa epoca.","Producao de cafe em outras regioes do estado fora da cidade nao conta."
"q07","faculdades universidades ensino superior","O usuario procura saber se a cidade possui tradicao e instituicoes consolidadas de ensino superior.","Escolas de ensino fundamental/medio ou cursos tecnicos curtos nao contam."
"q08","capital simbolica poder executivo paulista","O usuario quer entender o papel politico e de lideranca regional do municipio no estado de Sao Paulo.","Noticias cotidianas da prefeitura local sem relevancia de representacao estadual nao contam."
"q09","obras arte benedito calixto patrimonio","O usuario busca atracoes turisticas associadas a obras de arte e arquitetura historica.","Exposicoes temporarias de arte moderna sem vinculo com a historia/patrimonio da cidade nao contam."
"q10","complexo metropolitano expandido grande sao paulo","O usuario procura saber o papel do municipio no Complexo Metropolitano Expandido e sua conexao com a capital.","Cidades do interior paulista sem ligacao direta com a megalopole/litoral nao contam."
